"「生成AI導入・運用ガイドライン」の本書のスコープは、どのようなAI技術を対象としていますか？","企業における「テキスト生成 AI」の安全かつ効果的な活用を対象としており、テキスト生成特有のリスクとその対策に焦点を当てています [6]。"
"本書が主に想定する「AI利用者」とは、AI事業者におけるガイドライン第1版の定義を踏まえて、どのような組織内の立場の人を指しますか？","AI事業者におけるガイドライン第1版で定義されるAI利用者の中でも特に、組織が管理するAI利用者、すなわち企業や組織でテキスト生成AIを導入・運用する担当者を対象としています [7, 8]。"
"生成AIシステム導入・運用プロセスの「Plan」フェーズに含まれる主要な活動は何ですか？","「Plan」フェーズには、構想策定（導入目的やスコープの設定）と要件定義（導入目標、システム機能、利用ポリシー、リスク検討）が含まれます [9, 10]。"
"生成AIシステム導入・運用プロセスの「Check」フェーズと「Act」フェーズの活動内容を説明してください。","「Check」フェーズでは、デプロイされたシステムの保守・運用と、導入効果やセキュリティなどの評価を実施します。「Act」フェーズでは、評価結果をシステムや利用ポリシーに反映し、改善を行います [9, 10]。"
"テキスト生成AIの回答精度向上のための代表的な技術として、ファインチューニングとRAGが挙げられていますが、それぞれの技術の概要を簡単に説明してください。","ファインチューニングは、学習済みのモデルに新たなデータを追加学習させることで特定分野に特化させる技術です。RAGは、外部データベースから検索した情報を質問に追加してLLMに回答を生成させる技術です [11, 12]。どちらも回答精度向上に利用されます。"
"RAGを使用することの優位性を保つために注意すべき点は何ですか？","時間が進むにつれて学習させた情報が古くなるため、RAGに使用するデータを必要に応じて更新することが重要です。また、セキュリティとプライバシーの観点から、使用データに機密情報や個人情報が含まれる場合、適切なアクセス制限やデータの定期的な棚卸が重要です [13]。"
"「生成AI導入・運用ガイドライン」は、NISTやISOのガイドラインと比べてどのような特徴がありますか？","NISTやISOが広範囲な汎用的なAI技術を記載するのに対し、本書はテキスト生成AIの導入と運用を担当する者に特化した、より具体的な内容に言及しています [14]。"
"本書は、生成AIにおけるセキュリティリスクにフォーカスしていますが、特にどのようなリスクについても詳述していますか？","従来の生成AIに関連するセキュリティリスクだけでなく、今後さらに利活用されるであろうRAGを企業で導入することによって新たに発生するセキュリティリスクについても詳述しています [8]。"
"テキスト生成AIを組織に導入する際の構築環境として、どのような分類がありますか？","「オンプレミス型（オンプレ）」「クラウド型」「ハイブリッド型（API利用）」の3つに分類できます [15]。"
"クラウド型環境に生成AIを導入する際のセキュリティリスクと、その対策の例を挙げてください。","入出力データが外部サーバに保存されるなどのセキュリティリスクがあります。対策として、入力データを学習許可させないオプトアウト申請などのセキュリティの検討が必要です [16]。"
"RAG利用時におけるベクトルDBに格納するデータの精査が重要とされる理由は何ですか？","ノイズ、重複した情報、最新版ではない古い情報などが格納された場合、ハルシネーションや誤った回答の出力が発生し、回答精度の低下につながるためです [17]。"
"RAG利用時の課題として挙げられている、ユーザや部門ごとのデータ分割や閲覧権限設定の難しさについて説明してください。","ベクトルDBに機密情報を含むデータを格納した場合、全てのユーザが機密情報を参照できる可能性があります。ユーザや部門ごとに格納データを分けたり、参照するデータに閲覧権限を設定することが、従来の方法ではRAG環境を複数構築する必要がありコストが高くなるという課題があります [17]。"
"生成AIからの生成物（回答）について、誤りの確認（ハルシネーション）に関してユーザに周知すべき重要な注意点は何ですか？","生成物が現実には存在しない情報や事実と異なる内容を含む可能性があるため、常にその正確性を確認する必要があること、およびハルシネーションは完全に解消することはできないことを周知することが重要です [18]。"
"生成AIからの生成物（回答）について、偏りの確認（バイアス）に関して注意すべき点は何ですか？","生成物にはモデルが使用した学習データに基づくバイアスが含まれる可能性があります。公平性を保つために、生成物が特定の視点に偏っていないか、差別的な表現が含まれていないか注意深く確認することが必要です [19]。"
"ユーザが生成AI利用における倫理観およびセキュリティ意識を深めることによって、どのような効果が期待されますか？","コンプライアンスに留意した知識を深めることでAI利用における倫理観が醸成され、企業の信用失墜のリスクを軽減できます [20]。"
"生成AIの回答精度が低い場合に運用担当者が確認すべき点として、「回答生成プロセスの透明性」が挙げられていますが、これはどのような状態を指しますか？","生成AIがどのような論理やプロセスで回答を生成したのかが可視化された状態にあることです [21]。"
"運用担当者がユーザから得るべき情報として、「生成AIの導入効果」と「改善点」の他に何がありますか？","新たな活用方法や活用の成功事例、運用上の懸念事項（利用方法が分からない、回答精度が低いなど）があります [22]。"
